-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2012 through 12/31/2012 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,WS50M_RANGE
32.5,35.0,2012,1,27,2.8
32.5,35.625,2012,1,27,4.31
33.0,34.375,2012,1,27,3.36
33.0,35.0,2012,1,27,2.81
33.0,35.625,2012,1,27,3.01
29.5,34.375,2012,1,28,4.4
29.5,35.0,2012,1,28,2.59
29.5,35.625,2012,1,28,5.32
30.0,34.375,2012,1,28,3.98
30.0,35.0,2012,1,28,3.29
30.0,35.625,2012,1,28,7.98
30.5,34.375,2012,1,28,4.25
30.5,35.0,2012,1,28,4.4
30.5,35.625,2012,1,28,7.46
31.0,34.375,2012,1,28,5.08
31.0,35.0,2012,1,28,4.69
31.0,35.625,2012,1,28,5.5
31.5,34.375,2012,1,28,5.45
31.5,35.0,2012,1,28,5.16
31.5,35.625,2012,1,28,5.47
32.0,34.375,2012,1,28,6.75
32.0,35.0,2012,1,28,5.33
32.0,35.625,2012,1,28,5.76
