LAT,LON,YEAR,MO,DY,WS10M_RANGE
29.5,35.0,2022,7,10,4.17
29.5,34.375,2022,7,10,4.08
29.5,35.625,2022,6,4,5.48
29.5,35.0,2022,6,4,2.51
29.5,34.375,2022,6,4,5.01
29.5,35.625,2021,3,5,1.32
29.5,35.0,2021,3,5,3.07
29.5,34.375,2021,3,5,2.38
29.5,35.625,2022,11,1,5.15
29.5,35.0,2022,11,1,3.56
29.5,34.375,2022,11,1,3.72
29.5,35.625,2024,3,15,6.34
29.5,35.0,2024,3,15,3.78
29.5,34.375,2023,4,21,3.34
29.5,35.625,2024,4,18,5.27
29.5,35.625,2022,10,17,6.17
29.5,35.0,2022,10,17,3.32
29.5,35.625,2022,6,2,6.87
29.5,35.0,2022,6,2,2.21
29.5,34.375,2022,6,2,4.91
29.5,35.625,2024,12,13,4.3
29.5,35.0,2024,12,13,4.09
29.5,34.375,2024,12,13,3.42
29.5,35.625,2023,7,20,6.02
29.5,35.0,2023,7,20,2.19
29.5,34.375,2023,7,20,4.8
29.5,35.625,2023,2,8,6.51
29.5,35.0,2023,2,8,4.37
29.5,35.625,2020,2,1,5.05
29.5,34.375,2024,4,19,5.74
29.5,34.375,2021,5,3,5.5
29.5,35.625,2021,5,2,4.29
29.5,35.0,2021,5,2,4.36
29.5,34.375,2021,5,2,5.35
29.5,35.0,2024,12,12,3.64
29.5,34.375,2024,12,12,3.03
29.5,35.625,2020,2,2,2.89
29.5,35.0,2020,2,2,2.69
29.5,34.375,2020,2,2,2.0
29.5,35.625,2022,6,3,5.64
29.5,35.0,2022,6,3,1.88
29.5,34.375,2022,6,3,4.57
29.5,34.375,2024,3,15,4.66
29.5,35.625,2023,4,21,5.08
29.5,35.0,2023,4,21,3.27
29.5,35.625,2021,3,3,7.11
29.5,35.625,2024,3,14,5.36
29.5,35.0,2024,3,14,3.89
29.5,34.375,2024,3,14,5.35
29.5,35.625,2023,6,28,5.25
29.5,35.0,2023,6,28,3.68
29.5,34.375,2023,6,28,4.84
