LAT,LON,YEAR,MO,DY,T2M_MAX
29.5,35.625,2022,10,17,31.7
29.5,35.0,2022,10,17,30.16
29.5,35.625,2022,6,2,36.11
29.5,35.0,2022,6,2,33.9
29.5,34.375,2022,6,2,33.91
29.5,35.625,2024,12,13,17.26
29.5,35.0,2024,12,13,18.85
29.5,34.375,2024,12,13,16.94
29.5,35.625,2023,7,20,38.37
29.5,35.0,2023,7,20,38.18
29.5,34.375,2023,7,20,38.07
29.5,35.625,2023,2,8,8.78
29.5,35.0,2023,2,8,11.87
29.5,35.625,2020,2,1,14.44
29.5,34.375,2024,4,19,27.33
29.5,34.375,2021,5,3,34.07
29.5,35.625,2021,5,2,31.18
29.5,35.0,2021,5,2,31.47
29.5,34.375,2021,5,2,31.66
29.5,35.0,2024,12,12,18.54
29.5,34.375,2024,12,12,16.68
29.5,35.625,2020,2,2,15.27
29.5,35.0,2020,2,2,18.81
29.5,34.375,2020,2,2,16.62
29.5,35.625,2022,6,3,36.68
29.5,35.0,2022,6,3,35.59
29.5,34.375,2022,6,3,35.45
29.5,34.375,2024,3,15,21.18
29.5,35.625,2023,4,21,27.1
29.5,35.0,2023,4,21,25.95
29.5,35.625,2021,3,3,19.78
29.5,35.625,2024,3,14,23.6
29.5,35.0,2024,3,14,25.64
29.5,34.375,2024,3,14,25.39
29.5,35.625,2023,6,28,35.78
29.5,35.0,2023,6,28,35.25
29.5,34.375,2023,6,28,34.58
29.5,35.625,2020,2,3,19.07
