LAT,LON,YEAR,MO,DY,T2M_MIN
29.5,35.0,2020,1,29,5.93
29.5,34.375,2020,1,29,4.35
29.5,35.625,2020,1,28,3.12
29.5,35.625,2023,7,18,21.54
29.5,35.0,2023,7,18,24.06
29.5,34.375,2023,7,18,20.78
29.5,35.625,2023,4,29,8.12
29.5,35.0,2023,4,29,10.76
29.5,34.375,2023,4,29,9.19
29.5,35.625,2021,3,9,6.87
29.5,35.0,2021,3,9,7.94
29.5,34.375,2021,3,9,5.55
29.5,35.625,2024,4,16,10.08
29.5,35.625,2022,6,7,15.98
29.5,35.0,2024,12,14,8.01
29.5,34.375,2024,12,14,5.67
29.5,35.625,2024,12,15,0.74
29.5,35.0,2024,12,15,5.61
29.5,34.375,2024,12,15,2.85
29.5,34.375,2022,6,7,16.41
29.5,35.625,2022,6,6,18.54
29.5,35.0,2022,6,6,21.13
29.5,34.375,2022,6,6,19.16
29.5,35.0,2024,4,16,13.27
29.5,34.375,2024,4,16,11.28
29.5,35.625,2021,3,8,4.02
29.5,35.0,2021,3,8,5.64
29.5,34.375,2021,3,8,5.36
29.5,35.625,2021,4,29,12.35
29.5,35.0,2021,4,29,14.41
29.5,35.625,2023,2,20,1.85
29.5,35.0,2023,2,20,6.09
29.5,34.375,2023,2,20,4.4
29.5,35.625,2024,12,14,3.42
29.5,35.625,2022,7,9,18.18
29.5,35.0,2022,7,9,19.07
29.5,35.625,2021,4,28,9.57
29.5,35.0,2021,4,28,10.81
29.5,34.375,2021,4,28,8.25
29.5,35.625,2024,4,17,13.23
29.5,35.0,2024,4,17,17.37
29.5,34.375,2024,4,17,15.83
29.5,35.625,2024,3,16,3.36
29.5,35.0,2024,3,16,7.54
29.5,34.375,2024,3,16,5.63
29.5,34.375,2022,7,9,16.87
29.5,35.0,2023,2,9,2.2
29.5,34.375,2023,2,9,-0.34
29.5,35.625,2023,7,19,20.46
29.5,35.0,2023,7,19,22.1
29.5,35.625,2022,10,31,11.01
29.5,35.0,2022,10,31,14.71
29.5,35.625,2021,3,7,2.89
29.5,35.0,2021,3,7,7.29
29.5,34.375,2021,3,7,5.55
29.5,35.625,2022,10,18,14.04
29.5,35.0,2022,10,18,15.72
29.5,34.375,2022,10,18,13.82
29.5,35.625,2021,4,30,16.3
29.5,35.0,2021,4,30,16.85
29.5,34.375,2021,4,30,15.27
29.5,34.375,2023,7,19,19.22
29.5,35.625,2021,3,6,1.07
29.5,35.0,2021,3,6,5.84
29.5,34.375,2021,3,6,4.03
29.5,35.625,2021,5,1,15.99
29.5,35.0,2021,5,1,16.44
29.5,34.375,2021,5,1,15.44
29.5,35.625,2020,1,31,0.06
29.5,35.0,2020,1,31,3.74
29.5,34.375,2020,1,31,1.79
29.5,35.625,2022,6,5,20.85
29.5,35.0,2022,6,5,21.17
29.5,34.375,2022,6,5,18.97
29.5,35.625,2020,1,30,0.4
29.5,35.0,2020,1,30,4.51
29.5,34.375,2020,1,30,4.18
29.5,35.625,2023,2,9,-1.0
29.5,35.0,2020,2,1,2.73
29.5,34.375,2020,2,1,1.29
29.5,35.625,2022,7,10,16.84
29.5,35.0,2022,7,10,17.9
29.5,34.375,2022,7,10,16.1
29.5,35.625,2022,6,4,18.22
29.5,35.0,2022,6,4,19.23
29.5,34.375,2022,6,4,16.99
29.5,35.625,2021,3,5,2.07
29.5,35.0,2021,3,5,5.6
29.5,34.375,2021,3,5,4.49
29.5,35.625,2022,11,1,10.45
29.5,35.0,2022,11,1,14.37
29.5,34.375,2022,11,1,11.99
29.5,35.625,2024,3,15,5.96
29.5,35.0,2024,3,15,9.6
29.5,34.375,2023,4,21,8.13
29.5,35.625,2024,4,18,14.0
29.5,35.625,2022,10,17,14.52
29.5,35.0,2022,10,17,16.66
29.5,35.625,2022,6,2,15.65
29.5,35.0,2022,6,2,16.6
29.5,34.375,2022,6,2,14.21
29.5,35.625,2024,12,13,5.08
29.5,35.0,2024,12,13,9.59
29.5,34.375,2024,12,13,8.59
29.5,35.625,2023,7,20,20.86
29.5,35.0,2023,7,20,22.16
29.5,34.375,2023,7,20,19.64
29.5,35.625,2023,2,8,0.06
29.5,35.0,2023,2,8,2.66
29.5,35.625,2020,2,1,0.27
29.5,34.375,2024,4,19,11.8
29.5,34.375,2021,5,3,15.11
29.5,35.625,2021,5,2,13.53
29.5,35.0,2021,5,2,15.13
29.5,34.375,2021,5,2,14.3
29.5,35.0,2024,12,12,10.35
29.5,34.375,2024,12,12,6.66
29.5,35.625,2020,2,2,0.58
29.5,35.0,2020,2,2,3.42
29.5,34.375,2020,2,2,1.97
29.5,35.625,2022,6,3,17.61
29.5,35.0,2022,6,3,19.01
29.5,34.375,2022,6,3,16.15
29.5,34.375,2024,3,15,7.35
29.5,35.625,2023,4,21,7.86
29.5,35.0,2023,4,21,10.29
29.5,35.625,2021,3,3,1.66
29.5,35.625,2024,3,14,8.11
29.5,35.0,2024,3,14,11.57
29.5,34.375,2024,3,14,8.6
29.5,35.625,2023,6,28,17.1
29.5,35.0,2023,6,28,19.44
29.5,34.375,2023,6,28,17.43
