LAT,LON,YEAR,MO,DY,TS
29.5,34.375,2021,3,9,15.15
29.5,35.625,2024,4,16,21.62
29.5,35.625,2022,6,7,28.74
29.5,35.0,2024,12,14,13.13
29.5,34.375,2024,12,14,10.97
29.5,35.625,2024,12,15,5.97
29.5,35.0,2024,12,15,11.51
29.5,34.375,2024,12,15,8.4
29.5,34.375,2022,6,7,27.35
29.5,35.625,2022,6,6,28.71
29.5,35.0,2022,6,6,29.62
29.5,34.375,2022,6,6,28.22
29.5,35.0,2024,4,16,24.7
29.5,34.375,2024,4,16,22.54
29.5,35.625,2021,3,8,12.57
29.5,35.0,2021,3,8,14.39
29.5,34.375,2021,3,8,12.61
29.5,35.625,2021,4,29,24.85
29.5,35.0,2021,4,29,24.11
29.5,35.625,2023,2,20,10.78
29.5,35.0,2023,2,20,14.08
29.5,34.375,2023,2,20,11.43
29.5,35.625,2024,12,14,8.72
29.5,35.625,2022,7,9,30.7
29.5,35.0,2022,7,9,30.54
29.5,35.625,2021,4,28,22.53
29.5,35.0,2021,4,28,21.88
29.5,34.375,2021,4,28,21.67
29.5,35.625,2024,4,17,23.65
29.5,35.0,2024,4,17,25.38
29.5,34.375,2024,4,17,24.96
29.5,35.625,2024,3,16,14.13
29.5,35.0,2024,3,16,17.32
29.5,34.375,2024,3,16,15.13
29.5,34.375,2022,7,9,28.51
29.5,35.0,2023,2,9,8.94
29.5,34.375,2023,2,9,6.16
29.5,35.625,2023,7,19,33.48
29.5,35.0,2023,7,19,33.17
29.5,35.625,2022,10,31,19.74
29.5,35.0,2022,10,31,21.39
29.5,35.625,2021,3,7,13.35
29.5,35.0,2021,3,7,15.84
29.5,34.375,2021,3,7,12.84
29.5,35.625,2022,10,18,22.72
29.5,35.0,2022,10,18,24.02
29.5,34.375,2022,10,18,21.33
29.5,35.625,2021,4,30,26.76
29.5,35.0,2021,4,30,25.2
29.5,34.375,2021,4,30,26.62
29.5,34.375,2023,7,19,31.52
29.5,35.625,2021,3,6,10.85
29.5,35.0,2021,3,6,15.76
29.5,34.375,2021,3,6,12.73
29.5,35.625,2021,5,1,25.2
29.5,35.0,2021,5,1,23.98
29.5,34.375,2021,5,1,25.24
29.5,35.625,2020,1,31,5.75
29.5,35.0,2020,1,31,9.69
29.5,34.375,2020,1,31,7.73
29.5,35.625,2022,6,5,30.18
29.5,35.0,2022,6,5,31.19
29.5,34.375,2022,6,5,29.92
29.5,35.625,2020,1,30,7.22
29.5,35.0,2020,1,30,11.13
29.5,34.375,2020,1,30,9.13
29.5,35.625,2023,2,9,6.85
29.5,35.0,2020,2,1,9.26
29.5,34.375,2020,2,1,7.89
29.5,35.625,2022,7,10,28.64
29.5,35.0,2022,7,10,29.57
29.5,34.375,2022,7,10,27.71
29.5,35.625,2022,6,4,30.52
29.5,35.0,2022,6,4,30.81
29.5,34.375,2022,6,4,29.4
29.5,35.625,2021,3,5,11.49
29.5,35.0,2021,3,5,13.68
29.5,34.375,2021,3,5,11.7
29.5,35.625,2022,11,1,18.85
29.5,35.0,2022,11,1,20.66
29.5,34.375,2022,11,1,17.9
29.5,35.625,2024,3,15,13.07
29.5,35.0,2024,3,15,16.57
29.5,34.375,2023,4,21,18.5
29.5,35.625,2024,4,18,23.83
29.5,35.625,2022,10,17,22.99
29.5,35.0,2022,10,17,24.69
29.5,35.625,2022,6,2,28.76
29.5,35.0,2022,6,2,28.3
29.5,34.375,2022,6,2,26.88
29.5,35.625,2024,12,13,11.22
29.5,35.0,2024,12,13,14.47
29.5,34.375,2024,12,13,12.85
29.5,35.625,2023,7,20,33.33
29.5,35.0,2023,7,20,33.36
29.5,34.375,2023,7,20,32.46
29.5,35.625,2023,2,8,4.98
29.5,35.0,2023,2,8,8.84
29.5,35.625,2020,2,1,6.32
29.5,34.375,2024,4,19,21.58
29.5,34.375,2021,5,3,25.8
29.5,35.625,2021,5,2,24.33
29.5,35.0,2021,5,2,23.55
29.5,34.375,2021,5,2,24.71
29.5,35.0,2024,12,12,13.52
29.5,34.375,2024,12,12,11.0
29.5,35.625,2020,2,2,6.47
29.5,35.0,2020,2,2,11.09
29.5,34.375,2020,2,2,8.74
29.5,35.625,2022,6,3,29.92
29.5,35.0,2022,6,3,29.93
29.5,34.375,2022,6,3,29.15
29.5,34.375,2024,3,15,14.9
29.5,35.625,2023,4,21,19.64
29.5,35.0,2023,4,21,20.28
29.5,35.625,2021,3,3,10.69
29.5,35.625,2024,3,14,15.23
29.5,35.0,2024,3,14,18.51
29.5,34.375,2024,3,14,16.67
29.5,35.625,2023,6,28,29.18
29.5,35.0,2023,6,28,30.34
29.5,34.375,2023,6,28,28.85
29.5,35.625,2020,2,3,8.07
29.5,35.0,2020,2,3,12.86
29.5,34.375,2020,2,3,10.6
